,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
80,Unit Manager ICU,"Johannesburg, Gauteng",Permanent Intermediate position,Mass Staffing Projects,"R16,700 - R41,700 per month",16700.0,08 Dec 2022,25 Dec 2022,17,15,https://www.careerjunction.co.za/unit-manager-icu-job-2493354.aspx
81,Wellness Case Manager (Cape Town),"Cape Town Region, Western Cape",Permanent Management EE position,MVG Recruitment Specialists,Undisclosed,,08 Dec 2022,11 Jan 2023,34,32,https://www.careerjunction.co.za/wellness-case-manager-cape-town-job-2495767.aspx
82,Commercial Manager at Westfalia Fruit (Pty) Ltd,"Midrand, Gauteng",Permanent Management position,Westfalia Fruit,R Undisclosed,,08 Dec 2022,15 Dec 2022,7,5,https://www.careerjunction.co.za/commercial-manager-at-westfalia-fruit-pty-ltd-job-2492211.aspx
83,General Manager (AGRI / FARMING) â€“ Western Cape  at The Focus Group,"Cape Town Region, Western Cape",Permanent Intermediate position,The Focus Group,"R60,000 - R70,000 per month",60000.0,08 Dec 2022,07 Jan 2023,30,28,https://www.careerjunction.co.za/general-manager-agri-farming-aeuro-western-cape-at-the-focus-group-job-2495766.aspx
84,Estate Manager,"Umdloti, KwaZulu-Natal",Permanent Management position,Management Search Consultants,R Undisclosed,,08 Dec 2022,25 Dec 2022,17,15,https://www.careerjunction.co.za/estate-manager-job-2493304.aspx
85,Business Development Manager,"KwaZulu-Natal, South Africa",Permanent Intermediate position,Dananda Talent,R30 - R35 per month,30.0,08 Dec 2022,06 Jan 2023,29,27,https://www.careerjunction.co.za/business-development-manager-job-2495748.aspx
86,Mine Manager,"Limpopo, South Africa",Permanent Senior position,Mass Staffing Projects,"R141,700 - R150,000 per month",141700.0,08 Dec 2022,03 Jan 2023,26,24,https://www.careerjunction.co.za/mine-manager-job-2494592.aspx
87,Business Development Manager,"Cape Town, Western Cape",Permanent Intermediate position,Dananda Talent,R30 - R35 per month,30.0,08 Dec 2022,06 Jan 2023,29,27,https://www.careerjunction.co.za/business-development-manager-job-2495747.aspx
88,Business Development Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,Dananda Talent,R30 - R35 per month,30.0,08 Dec 2022,06 Jan 2023,29,27,https://www.careerjunction.co.za/business-development-manager-job-2495744.aspx
89,Proposals/Tender Manager at HR Xchange,"Pretoria Region, Gauteng",Permanent Senior position,HR Xchange,R Undisclosed,,08 Dec 2022,07 Jan 2023,30,28,https://www.careerjunction.co.za/proposals-tender-manager-at-hr-xchange-job-2495713.aspx
90,Commercial and Legal Manager,"Johannesburg, Gauteng",Permanent Intermediate position,Swift Human Resources,R Undisclosed,,08 Dec 2022,06 Jan 2023,29,27,https://www.careerjunction.co.za/commercial-and-legal-manager-job-2495677.aspx
91,Claims Assistant Manager (French speaking),"Cape Town CBD, Western Cape",Permanent Intermediate position,Pinpoint One Human Resources,"R25,000 per month",25000.0,08 Dec 2022,02 Jan 2023,25,23,https://www.careerjunction.co.za/claims-assistant-manager-french-speaking-job-2494445.aspx
92,Business Development Manager,"Kempton Park, Gauteng",Contract Intermediate position,T and T Academy,"R33,300 - R51,700 per month",33300.0,08 Dec 2022,02 Jan 2023,25,23,https://www.careerjunction.co.za/business-development-manager-job-2494549.aspx
93,Payroll Manager,"Polokwane (Pietersburg Central), Limpopo",Permanent Intermediate position,Intellistaff Outsourced Services,R Undisclosed,,08 Dec 2022,28 Dec 2022,20,18,https://www.careerjunction.co.za/payroll-manager-job-2494533.aspx
94,Regional Manager: Educational Libraries & Systems at Abantu Staffing Solutions,"Eastern Cape, South Africa",Permanent Senior position,Abantu Staffing Solutions,R Undisclosed,,08 Dec 2022,07 Jan 2023,30,28,https://www.careerjunction.co.za/regional-manager-educational-libraries-%26-systems-at-abantu-staffing-solutions-job-2495721.aspx
