,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
659,Group Financial Manager (FMCG),"Boquinar Industrial Area (Airport Industria), Western Cape",Permanent Management position,Kerfield Recruitment,"R90,000 - R100,000 per month",90000.0,26 Nov 2022,12 Dec 2022,16,10,https://www.careerjunction.co.za/group-financial-manager-fmcg-job-2491623.aspx
660,Full Stack Rails Developer at Glucode,"Sandown, Gauteng
 / Work From Home",Permanent Senior position,Glucode,"R90,000 per month",90000.0,01 Dec 2022,09 Dec 2022,8,7,https://www.careerjunction.co.za/full-stack-rails-developer-at-glucode-job-2491352.aspx
661,Business Intelligence Developer,"Parktown, Gauteng",Permanent Intermediate position,Only The Best (Pty) Ltd,"R30,000 - R70,000 per month",30000.0,28 Nov 2022,01 Jan 2023,34,30,https://www.careerjunction.co.za/business-intelligence-developer-job-2494262.aspx
662,EV Software Engineer (Thermal Management Systems/Simulink) at Datafin Recruitment,"Durbanville, Western Cape",Permanent Executive position,Datafin,R Undisclosed,,24 Nov 2022,22 Dec 2022,28,20,https://www.careerjunction.co.za/ev-software-engineer-thermal-management-systems-simulink-at-datafin-recruitment-job-2493910.aspx
663,Linux Engineer at Reverside,"Gauteng, South Africa",Permanent Senior position,Reverside Professional Services,Commission Only,,24 Nov 2022,28 Dec 2022,34,26,https://www.careerjunction.co.za/linux-engineer-at-reverside-job-2493889.aspx
664,Continuous Improvement Lead/Engineer,"Winelands, Western Cape",Permanent Senior position,Lotus Recruitment,Undisclosed,,25 Nov 2022,20 Dec 2022,25,18,https://www.careerjunction.co.za/continuous-improvement-lead-engineer-job-2492949.aspx
665,Recruitment Administrator  at Top Vitae,"Eastern Cape, South Africa",Permanent Intermediate position,Top Vitae Recruitment,R Undisclosed,,25 Nov 2022,16 Dec 2022,21,14,https://www.careerjunction.co.za/recruitment-administrator-at-top-vitae-job-2492925.aspx
666,Solutions Architect (Mining/Engineering/Manufacturing) contract (TB) at Mediro ICT,"Pretoria Region, Gauteng",Contract Management position,Mediro Application Consulting,R Undisclosed,,25 Nov 2022,16 Dec 2022,21,14,https://www.careerjunction.co.za/solutions-architect-mining-engineering-manufacturing-contract-tb-at-mediro-ict-job-2492842.aspx
667,Outbound Admin Controller,"Cape Town Region, Western Cape",Permanent Intermediate position,Michele Visser Recruiters,Undisclosed,,25 Nov 2022,11 Dec 2022,16,9,https://www.careerjunction.co.za/outbound-admin-controller-job-2491589.aspx
668,Account Manager at Parvana Recruitment,"Cape Town, Western Cape",Permanent Senior position,Parvana Strategic Sourcing,R Undisclosed,,25 Nov 2022,05 Dec 2022,10,3,https://www.careerjunction.co.za/account-manager-at-parvana-recruitment-job-2491493.aspx
669,Product Head:  Cash Planning / Supply Chain (CH855 at Capital H Staffing and Advisory Solutions,"Winelands, Western Cape",Permanent Senior position,Capital H Staffing,R Undisclosed,,28 Nov 2022,10 Dec 2022,12,8,https://www.careerjunction.co.za/product-head-cash-planning-supply-chain-ch855-at-capital-h-staffing-and-advisory-solutions-job-2492070.aspx
670,Specialist Consolidations & Group Statutory Reporting,"Centurion, Gauteng",Permanent Specialist position,RAD Resources SA,Undisclosed,,24 Nov 2022,19 Dec 2022,25,17,https://www.careerjunction.co.za/specialist-consolidations-%26-group-statutory-reporting-job-2492664.aspx
671,DevOps Engineer at NRF National Research Foundation,"Braamfontein (Braampark), Gauteng",Permanent Senior EE position,National Research Foundation,R Undisclosed,,25 Nov 2022,15 Dec 2022,20,13,https://www.careerjunction.co.za/devops-engineer-at-nrf-national-research-foundation-job-2494067.aspx
672,Legal Processing Officer at Nutun,"Sandton, Gauteng",Permanent Intermediate position,Nutun,Undisclosed,,25 Nov 2022,29 Dec 2022,34,27,https://www.careerjunction.co.za/legal-processing-officer-at-nutun-job-2494049.aspx
673,Product Owner at Old Mutual Finance,"Cape Town CBD, Western Cape",Permanent Intermediate position,Old Mutual (Finance),Undisclosed,,28 Nov 2022,14 Dec 2022,16,12,https://www.careerjunction.co.za/product-owner-at-old-mutual-finance-job-2492121.aspx
674,Quality Supervisor,"Port Elizabeth, Eastern Cape",Permanent Senior position,Bay Recruitment,"R22,000 - R26,000 per month",22000.0,01 Dec 2022,27 Dec 2022,26,25,https://www.careerjunction.co.za/quality-supervisor-job-2493654.aspx
675,Brand Manager,"Woodmead, Gauteng",Permanent Management position,Bristow Talent & Associates,"R50,000 - R58,000 per month",50000.0,29 Nov 2022,06 Dec 2022,7,4,https://www.careerjunction.co.za/brand-manager-job-2490902.aspx
676,Lab Technician (12 Mnths ) Renewable (Wits NICD) at AJ Personnel,"Johannesburg Region, Gauteng",Contract Junior position,AJ Personnel,R Undisclosed,,29 Nov 2022,29 Dec 2022,30,27,https://www.careerjunction.co.za/lab-technician-12-mnths-renewable-wits-nicd-at-aj-personnel-job-2494582.aspx
677,HR Business Partner at Nutun Business Services,"Johannesburg, Gauteng",Permanent Intermediate position,Nutun,R Undisclosed,,24 Nov 2022,19 Dec 2022,25,17,https://www.careerjunction.co.za/hr-business-partner-at-nutun-business-services-job-2492738.aspx
678,Candidate Engagement Team Leader at WebHelp UK,"Cape Town Region, Western Cape",Permanent Senior position,WebHelp SA,R Undisclosed,,29 Nov 2022,02 Dec 2022,3,0,https://www.careerjunction.co.za/candidate-engagement-team-leader-at-webhelp-uk-job-2490900.aspx
679,Procurement Officer - Elsies Rivier,"Eikenbosch, Western Cape",Permanent Intermediate position,Swift Human Resources,"R25,000 - R30,000 per month",25000.0,27 Nov 2022,16 Dec 2022,19,14,https://www.careerjunction.co.za/procurement-officer-elsies-rivier-job-2493230.aspx
