,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
42,General works manager,"Pretoria Region, Gauteng",Permanent Management position,,R Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/general-works-manager-job-2494935.aspx
43,Manager (Research and Technical Marketing),"Randburg, Gauteng",Permanent Senior EE position,Afrizan People Intelligence,Undisclosed,,01 Dec 2022,27 Dec 2022,26,23,https://www.careerjunction.co.za/manager-research-and-technical-marketing-job-2493683.aspx
44,Shift Manager at Business Directive Contract Services,"Benoni, Gauteng",Contract Junior position,Business Directive Contract Services,R Undisclosed,,01 Dec 2022,18 Dec 2022,17,14,https://www.careerjunction.co.za/shift-manager-at-business-directive-contract-services-job-2492475.aspx
45,Human Capital Manager at Mine Health & Safety Council,"Woodmead, Gauteng",Permanent Management position,,Undisclosed,,01 Dec 2022,18 Dec 2022,17,14,https://www.careerjunction.co.za/human-capital-manager-at-mine-health-%26-safety-council-job-2492455.aspx
46,Commercial Manager,"Johannesburg, Gauteng",Permanent Senior position,Mass Staffing Projects,"R108,300 - R141,700 per month",108300.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/commercial-manager-job-2494904.aspx
47,Business Development Manager (Healthcare),"Johannesburg, Gauteng",Permanent Specialist position,RAD Resources SA,"R60,000 - R70,000 per month",60000.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/business-development-manager-healthcare-job-2494893.aspx
48,Public Relations Manager,"Johannesburg North (Johannesburg North), Gauteng",Permanent Intermediate position,Dananda Talent,R40 - R50 per month,40.0,01 Dec 2022,30 Dec 2022,29,26,https://www.careerjunction.co.za/public-relations-manager-job-2494888.aspx
49,Operations / Commercial Manager - Roto Moulding Manufacturing,"Johannesburg, Gauteng",Permanent Intermediate position,Talentsphere,R Undisclosed,,01 Dec 2022,30 Dec 2022,29,26,https://www.careerjunction.co.za/operations-commercial-manager-roto-moulding-manufacturing-job-2494885.aspx
50,Senior IT Services Delivery Manager,"Johannesburg, Gauteng",Permanent Senior position,Carlysle Human Capital,R Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/senior-it-services-delivery-manager-job-2486676.aspx
51,Area Sales Manager at Headhunters,"East Rand, Gauteng",Permanent Intermediate position,Headhunters (Head Office),R Undisclosed,,01 Dec 2022,22 Dec 2022,21,18,https://www.careerjunction.co.za/area-sales-manager-at-headhunters-job-2493540.aspx
