,Job Title,Location,Job Type,Company,Salary,Monthly Salary,Posting Date,Expiry Date,Ad Duration (Days),Days before expiry,Link
253,EUC Support Engineer (Deskside Support Engineer),"Cape Town, Western Cape",Permanent Intermediate EE position,iOCO Digital Talent,"R27,500 - R37,500 per month",27500.0,28 Nov 2022,27 Dec 2022,29,23,https://www.careerjunction.co.za/euc-support-engineer-deskside-support-engineer-job-2494346.aspx
254,Business Intelligence Manager,"East Germiston, Gauteng",Permanent Specialist position,Full Circle Selection,R Undisclosed,,29 Nov 2022,15 Dec 2022,16,11,https://www.careerjunction.co.za/business-intelligence-manager-job-2492226.aspx
255,DIVISIONAL MANAGER APPLICATIONS MANAGEMENT,"Durban (Durban CBD), KwaZulu-Natal",Permanent Management EE position,M-Ploy Global Resourcing,"R106,100 per month",106100.0,03 Dec 2022,20 Dec 2022,17,16,https://www.careerjunction.co.za/divisional-manager-applications-management-job-2492880.aspx
256,Recruitment Administrator at Mindcor,"Rosebank, Gauteng",Permanent Junior position,Mindcor,R Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/recruitment-administrator-at-mindcor-job-2494852.aspx
257,Engineering Manager,"East London, Eastern Cape",Permanent Senior position,Staff Solutions,R Undisclosed,,01 Dec 2022,12 Dec 2022,11,8,https://www.careerjunction.co.za/engineering-manager-job-2492441.aspx
258,IT Help Desk Technician at Quest Staffing Solutions,"Westridge, Western Cape",Contract Senior position,Quest,R130.00 per hour,20800.0,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/it-help-desk-technician-at-quest-staffing-solutions-job-2494827.aspx
259,Engineering Specialist,"Brooklyn, Gauteng",Permanent Specialist position,Tipp Focus,R Undisclosed,,03 Dec 2022,20 Dec 2022,17,16,https://www.careerjunction.co.za/engineering-specialist-job-2492756.aspx
260,ETL Developer,"Fourways, Gauteng",Permanent Intermediate position,Tiger Personnel Management,R Undisclosed,,30 Nov 2022,03 Jan 2023,34,30,https://www.careerjunction.co.za/etl-developer-job-2494691.aspx
261,BI Developer at The Focus Group,"Johannesburg Region, Gauteng",Permanent Intermediate EE position,The Focus Group,R Undisclosed,,01 Dec 2022,22 Dec 2022,21,18,https://www.careerjunction.co.za/bi-developer-at-the-focus-group-job-2493613.aspx
262,Supplier Readiness Engineer - Automotive Manufacturing - Kariega,"Kariega, Eastern Cape",Permanent Specialist EE position,Kwena Human Capital,Undisclosed,,01 Dec 2022,04 Jan 2023,34,31,https://www.careerjunction.co.za/supplier-readiness-engineer-automotive-manufacturing-kariega-job-2494796.aspx
263,Senior Python Engineer,"Woodstock, Western Cape",Permanent Senior position,MIT Recruitment,Undisclosed,,02 Dec 2022,05 Jan 2023,34,32,https://www.careerjunction.co.za/senior-python-engineer-job-2494980.aspx
264,Junior Collections Strategy Analyst at Old Mutual Finance,"Cape Town CBD, Western Cape",Permanent Junior position,Old Mutual (Finance),Undisclosed,,29 Nov 2022,02 Jan 2023,34,29,https://www.careerjunction.co.za/junior-collections-strategy-analyst-at-old-mutual-finance-job-2494462.aspx
265,HR Administrator,"Turffontein, Gauteng",Contract Intermediate position,Stratogo,R01 - R02 per month,1.0,29 Nov 2022,11 Dec 2022,12,7,https://www.careerjunction.co.za/hr-administrator-job-2494505.aspx
266,School of Education Administrator at Mancosa,"Gauteng, South Africa",Contract Intermediate position,MANCOSA,R Undisclosed,,02 Dec 2022,14 Dec 2022,12,10,https://www.careerjunction.co.za/school-of-education-administrator-at-mancosa-job-2492569.aspx
267,Portfolio Manager and Analyst,"Cape Town CBD, Western Cape",Permanent Senior EE position,Capital Assignments CC,R Undisclosed,,02 Dec 2022,18 Dec 2022,16,14,https://www.careerjunction.co.za/portfolio-manager-and-analyst-job-2492472.aspx
268,Senior Technical Accountant,"Cape Town, Western Cape",Contract Senior position,Network Contracting Solutions,R435.00 - R530.00 per hour,69600.0,30 Nov 2022,29 Dec 2022,29,25,https://www.careerjunction.co.za/senior-technical-accountant-job-2494634.aspx
